"fips","state","county","week_start_date","eviction_filings"
"47037","tennessee","davidson","2019-10-21","171"
"47037","tennessee","davidson","2019-10-28","209"
"47037","tennessee","davidson","2019-11-04","340"
"47037","tennessee","davidson","2019-11-11","124"
"47037","tennessee","davidson","2019-11-18","311"
"47037","tennessee","davidson","2019-11-25","107"
"47037","tennessee","davidson","2019-12-02","106"
"47037","tennessee","davidson","2019-12-09","141"
"47037","tennessee","davidson","2019-12-16","301"
"47037","tennessee","davidson","2019-12-23","117"
"47037","tennessee","davidson","2019-12-30","163"
"47037","tennessee","davidson","2020-01-06","419"
"47037","tennessee","davidson","2020-01-13","227"
"47037","tennessee","davidson","2020-01-20","233"
"47037","tennessee","davidson","2020-01-27","227"
"47037","tennessee","davidson","2020-02-03","337"
"47037","tennessee","davidson","2020-02-10","151"
"47037","tennessee","davidson","2020-02-17","231"
"47037","tennessee","davidson","2020-02-24","224"
"47037","tennessee","davidson","2020-03-02","261"
"47037","tennessee","davidson","2020-03-09","141"
"47037","tennessee","davidson","2020-03-16","117"
"47037","tennessee","davidson","2020-03-23","80"
"47037","tennessee","davidson","2020-03-30","33"
"47037","tennessee","davidson","2020-04-06","24"
"47037","tennessee","davidson","2020-04-13","16"
"47037","tennessee","davidson","2020-04-20","58"
"47037","tennessee","davidson","2020-04-27","22"
"47037","tennessee","davidson","2020-05-04","16"
"47037","tennessee","davidson","2020-05-11","20"
"47037","tennessee","davidson","2020-05-18","35"
"47037","tennessee","davidson","2020-05-25","63"
"47037","tennessee","davidson","2020-06-01","90"
"47037","tennessee","davidson","2020-06-08","99"
"47037","tennessee","davidson","2020-06-15","69"
"47037","tennessee","davidson","2020-06-22","77"
"47037","tennessee","davidson","2020-06-29","64"
"47037","tennessee","davidson","2020-07-06","62"
"47037","tennessee","davidson","2020-07-13","53"
"47037","tennessee","davidson","2020-07-20","68"
"47037","tennessee","davidson","2020-07-27","31"
"47037","tennessee","davidson","2020-08-03","48"
"47037","tennessee","davidson","2020-08-10","48"
"47037","tennessee","davidson","2020-08-17","65"
"47037","tennessee","davidson","2020-08-24","150"
"47037","tennessee","davidson","2020-08-31","150"
"47037","tennessee","davidson","2020-09-07","179"
"47037","tennessee","davidson","2020-09-14","158"
"47037","tennessee","davidson","2020-09-21","114"
"47037","tennessee","davidson","2020-09-28","139"
"47037","tennessee","davidson","2020-10-05","94"
"47037","tennessee","davidson","2020-10-12","115"
"47037","tennessee","davidson","2020-10-19","145"
"47037","tennessee","davidson","2020-10-26","147"
"47037","tennessee","davidson","2020-11-02","122"
"47037","tennessee","davidson","2020-11-09","63"
"47037","tennessee","davidson","2020-11-16","92"
"47037","tennessee","davidson","2020-11-23","86"
"47037","tennessee","davidson","2020-11-30","224"
"47037","tennessee","davidson","2020-12-07","165"
"47037","tennessee","davidson","2020-12-14","148"
"47037","tennessee","davidson","2020-12-21","141"
"47037","tennessee","davidson","2020-12-28","90"
"47037","tennessee","davidson","2021-01-04","179"
"47037","tennessee","davidson","2021-01-11","183"
"47037","tennessee","davidson","2021-01-18","103"
"47037","tennessee","davidson","2021-01-25","158"
"47037","tennessee","davidson","2021-02-01","136"
"47037","tennessee","davidson","2021-02-08","131"
"47037","tennessee","davidson","2021-02-15","0"
"47037","tennessee","davidson","2021-02-22","156"
"47037","tennessee","davidson","2021-03-01","165"
"47037","tennessee","davidson","2021-03-08","84"
"47037","tennessee","davidson","2021-03-15","138"
"47037","tennessee","davidson","2021-03-22","104"
"47037","tennessee","davidson","2021-03-29","97"
"47037","tennessee","davidson","2021-04-05","86"
"47037","tennessee","davidson","2021-04-12","123"
"47037","tennessee","davidson","2021-04-19","105"
"47037","tennessee","davidson","2021-04-26","95"
"47037","tennessee","davidson","2021-05-03","82"
"47037","tennessee","davidson","2021-05-10","75"
"47037","tennessee","davidson","2021-05-17","142"
"47037","tennessee","davidson","2021-05-24","125"
"47037","tennessee","davidson","2021-05-31","145"
"47037","tennessee","davidson","2021-06-07","121"
"47037","tennessee","davidson","2021-06-14","191"
"47037","tennessee","davidson","2021-06-21","118"
"47037","tennessee","davidson","2021-06-28","136"
"47037","tennessee","davidson","2021-07-05","97"
"47037","tennessee","davidson","2021-07-12","130"
"47037","tennessee","davidson","2021-07-19","189"
"47037","tennessee","davidson","2021-07-26","188"
"47037","tennessee","davidson","2021-08-02","120"
"47037","tennessee","davidson","2021-08-09","159"
"47037","tennessee","davidson","2021-08-16","220"
"47037","tennessee","davidson","2021-08-23","149"
"47037","tennessee","davidson","2021-08-30","167"
"47037","tennessee","davidson","2021-09-06","76"
"47037","tennessee","davidson","2021-09-13","162"
"47037","tennessee","davidson","2021-09-20","186"
"47037","tennessee","davidson","2021-09-27","176"
"47037","tennessee","davidson","2021-10-04","216"
"47037","tennessee","davidson","2021-10-11","162"
"47037","tennessee","davidson","2021-10-18","202"
"47037","tennessee","davidson","2021-10-25","129"
"47037","tennessee","davidson","2021-11-01","177"
"47037","tennessee","davidson","2021-11-08","99"
"47037","tennessee","davidson","2021-11-15","236"
"47037","tennessee","davidson","2021-11-22","89"
"47037","tennessee","davidson","2021-11-29","165"
"47037","tennessee","davidson","2021-12-06","154"
"47037","tennessee","davidson","2021-12-13","143"
"47037","tennessee","davidson","2021-12-20","190"
"47037","tennessee","davidson","2021-12-27","136"
"47037","tennessee","davidson","2022-01-03","126"
"47037","tennessee","davidson","2022-01-10","232"
"47037","tennessee","davidson","2022-01-17","217"
"47037","tennessee","davidson","2022-01-24","154"
"47037","tennessee","davidson","2022-01-31","309"
"47037","tennessee","davidson","2022-02-07","181"
"47037","tennessee","davidson","2022-02-14","380"
"47037","tennessee","davidson","2022-02-21","215"
