"fips","state","county","month_start_date","monthly_eviction_filings"
"47089","tennessee","jefferson","2020-03-01","13"
"47089","tennessee","jefferson","2020-04-01","0"
"47089","tennessee","jefferson","2020-05-01","0"
"47089","tennessee","jefferson","2020-06-01","18"
"47089","tennessee","jefferson","2020-07-01","10"
"47089","tennessee","jefferson","2020-08-01","15"
"47089","tennessee","jefferson","2020-09-01","11"
"47089","tennessee","jefferson","2020-10-01","7"
"47089","tennessee","jefferson","2020-11-01","3"
"47089","tennessee","jefferson","2020-12-01","12"
"47089","tennessee","jefferson","2021-01-01","5"
"47089","tennessee","jefferson","2021-02-01","5"
"47089","tennessee","jefferson","2021-03-01","8"
"47089","tennessee","jefferson","2021-04-01","8"
"47089","tennessee","jefferson","2021-05-01","15"
"47089","tennessee","jefferson","2021-06-01","11"
"47089","tennessee","jefferson","2021-07-01","9"
"47089","tennessee","jefferson","2021-08-01","10"
"47089","tennessee","jefferson","2021-09-01","6"
"47089","tennessee","jefferson","2021-10-01","11"
"47089","tennessee","jefferson","2021-11-01","6"
"47089","tennessee","jefferson","2021-12-01","7"
"47089","tennessee","jefferson","2022-01-01","0"
"47089","tennessee","jefferson","2022-02-01","2"
"47089","tennessee","jefferson","2022-03-01","7"
"47089","tennessee","jefferson","2022-04-01","4"
"47089","tennessee","jefferson","2022-05-01","4"
"47089","tennessee","jefferson","2022-06-01","5"
"47089","tennessee","jefferson","2022-07-01","4"
"47089","tennessee","jefferson","2022-08-01","9"
"47089","tennessee","jefferson","2022-09-01","5"
"47089","tennessee","jefferson","2022-10-01","12"
"47089","tennessee","jefferson","2022-11-01","4"
"47089","tennessee","jefferson","2022-12-01","6"
"47107","tennessee","mcminn","2016-01-01","4"
"47107","tennessee","mcminn","2016-02-01","18"
"47107","tennessee","mcminn","2016-03-01","10"
"47107","tennessee","mcminn","2016-04-01","16"
"47107","tennessee","mcminn","2016-05-01","8"
"47107","tennessee","mcminn","2016-06-01","12"
"47107","tennessee","mcminn","2016-07-01","7"
"47107","tennessee","mcminn","2016-08-01","10"
"47107","tennessee","mcminn","2016-09-01","7"
"47107","tennessee","mcminn","2016-10-01","7"
"47107","tennessee","mcminn","2016-11-01","4"
"47107","tennessee","mcminn","2016-12-01","13"
"47107","tennessee","mcminn","2017-01-01","12"
"47107","tennessee","mcminn","2017-02-01","9"
"47107","tennessee","mcminn","2017-03-01","7"
"47107","tennessee","mcminn","2017-04-01","15"
"47107","tennessee","mcminn","2017-05-01","6"
"47107","tennessee","mcminn","2017-06-01","11"
"47107","tennessee","mcminn","2017-07-01","15"
"47107","tennessee","mcminn","2017-08-01","6"
"47107","tennessee","mcminn","2017-09-01","11"
"47107","tennessee","mcminn","2017-10-01","18"
"47107","tennessee","mcminn","2017-11-01","10"
"47107","tennessee","mcminn","2017-12-01","7"
"47107","tennessee","mcminn","2018-01-01","11"
"47107","tennessee","mcminn","2018-02-01","17"
"47107","tennessee","mcminn","2018-03-01","12"
"47107","tennessee","mcminn","2018-04-01","16"
"47107","tennessee","mcminn","2018-05-01","13"
"47107","tennessee","mcminn","2018-06-01","9"
"47107","tennessee","mcminn","2018-07-01","12"
"47107","tennessee","mcminn","2018-08-01","7"
"47107","tennessee","mcminn","2018-09-01","14"
"47107","tennessee","mcminn","2018-10-01","9"
"47107","tennessee","mcminn","2018-11-01","9"
"47107","tennessee","mcminn","2018-12-01","7"
"47107","tennessee","mcminn","2019-01-01","13"
"47107","tennessee","mcminn","2019-02-01","15"
"47107","tennessee","mcminn","2019-03-01","11"
"47107","tennessee","mcminn","2019-04-01","11"
"47107","tennessee","mcminn","2019-05-01","9"
"47107","tennessee","mcminn","2019-06-01","14"
"47107","tennessee","mcminn","2019-07-01","5"
"47107","tennessee","mcminn","2019-08-01","22"
"47107","tennessee","mcminn","2019-09-01","13"
"47107","tennessee","mcminn","2019-10-01","9"
"47107","tennessee","mcminn","2019-11-01","10"
"47107","tennessee","mcminn","2019-12-01","3"
"47107","tennessee","mcminn","2020-01-01","13"
"47107","tennessee","mcminn","2020-02-01","4"
"47107","tennessee","mcminn","2020-03-01","6"
"47107","tennessee","mcminn","2020-04-01","1"
"47107","tennessee","mcminn","2020-05-01","5"
"47107","tennessee","mcminn","2020-06-01","12"
"47107","tennessee","mcminn","2020-07-01","7"
"47107","tennessee","mcminn","2020-08-01","7"
"47107","tennessee","mcminn","2020-09-01","11"
"47107","tennessee","mcminn","2020-10-01","4"
"47107","tennessee","mcminn","2020-11-01","7"
"47107","tennessee","mcminn","2020-12-01","0"
"47107","tennessee","mcminn","2021-01-01","5"
"47107","tennessee","mcminn","2021-02-01","5"
"47107","tennessee","mcminn","2021-03-01","7"
"47107","tennessee","mcminn","2021-04-01","13"
"47107","tennessee","mcminn","2021-05-01","4"
"47107","tennessee","mcminn","2021-06-01","10"
"47107","tennessee","mcminn","2021-07-01","4"
"47107","tennessee","mcminn","2021-08-01","11"
"47107","tennessee","mcminn","2021-09-01","9"
"47107","tennessee","mcminn","2021-10-01","15"
"47107","tennessee","mcminn","2021-11-01","10"
"47107","tennessee","mcminn","2021-12-01","10"
"47107","tennessee","mcminn","2022-01-01","15"
"47107","tennessee","mcminn","2022-02-01","16"
"47107","tennessee","mcminn","2022-03-01","13"
"47107","tennessee","mcminn","2022-04-01","13"
"47107","tennessee","mcminn","2022-05-01","14"
"47107","tennessee","mcminn","2022-06-01","9"
"47107","tennessee","mcminn","2022-07-01","4"
"47107","tennessee","mcminn","2022-08-01","13"
"47107","tennessee","mcminn","2022-09-01","15"
"47107","tennessee","mcminn","2022-10-01","8"
"47107","tennessee","mcminn","2022-11-01","11"
"47107","tennessee","mcminn","2022-12-01","8"
"47021","tennessee","cheatham","2016-01-01","3"
"47021","tennessee","cheatham","2016-02-01","7"
"47021","tennessee","cheatham","2016-03-01","1"
"47021","tennessee","cheatham","2016-04-01","6"
"47021","tennessee","cheatham","2016-05-01","0"
"47021","tennessee","cheatham","2016-06-01","8"
"47021","tennessee","cheatham","2016-07-01","4"
"47021","tennessee","cheatham","2016-08-01","8"
"47021","tennessee","cheatham","2016-09-01","8"
"47021","tennessee","cheatham","2016-10-01","9"
"47021","tennessee","cheatham","2016-11-01","8"
"47021","tennessee","cheatham","2016-12-01","12"
"47021","tennessee","cheatham","2017-01-01","7"
"47021","tennessee","cheatham","2017-02-01","0"
"47021","tennessee","cheatham","2017-03-01","2"
"47021","tennessee","cheatham","2017-04-01","5"
"47021","tennessee","cheatham","2017-05-01","5"
"47021","tennessee","cheatham","2017-06-01","4"
"47021","tennessee","cheatham","2017-07-01","6"
"47021","tennessee","cheatham","2017-08-01","2"
"47021","tennessee","cheatham","2017-09-01","3"
"47021","tennessee","cheatham","2017-10-01","6"
"47021","tennessee","cheatham","2017-11-01","5"
"47021","tennessee","cheatham","2017-12-01","4"
"47021","tennessee","cheatham","2018-01-01","5"
"47021","tennessee","cheatham","2018-02-01","6"
"47021","tennessee","cheatham","2018-03-01","5"
"47021","tennessee","cheatham","2018-04-01","4"
"47021","tennessee","cheatham","2018-05-01","4"
"47021","tennessee","cheatham","2018-06-01","8"
"47021","tennessee","cheatham","2018-07-01","5"
"47021","tennessee","cheatham","2018-08-01","9"
"47021","tennessee","cheatham","2018-09-01","7"
"47021","tennessee","cheatham","2018-10-01","11"
"47021","tennessee","cheatham","2018-11-01","11"
"47021","tennessee","cheatham","2018-12-01","8"
"47021","tennessee","cheatham","2019-01-01","10"
"47021","tennessee","cheatham","2019-02-01","11"
"47021","tennessee","cheatham","2019-03-01","8"
"47021","tennessee","cheatham","2019-04-01","5"
"47021","tennessee","cheatham","2019-05-01","8"
"47021","tennessee","cheatham","2019-06-01","10"
"47021","tennessee","cheatham","2019-07-01","2"
"47021","tennessee","cheatham","2019-08-01","7"
"47021","tennessee","cheatham","2019-09-01","6"
"47021","tennessee","cheatham","2019-10-01","9"
"47021","tennessee","cheatham","2019-11-01","9"
"47021","tennessee","cheatham","2019-12-01","5"
"47021","tennessee","cheatham","2020-01-01","10"
"47021","tennessee","cheatham","2020-02-01","10"
"47021","tennessee","cheatham","2020-03-01","5"
"47021","tennessee","cheatham","2020-04-01","2"
"47021","tennessee","cheatham","2020-05-01","0"
"47021","tennessee","cheatham","2020-06-01","13"
"47021","tennessee","cheatham","2020-07-01","7"
"47021","tennessee","cheatham","2020-08-01","5"
"47021","tennessee","cheatham","2020-09-01","2"
"47021","tennessee","cheatham","2020-10-01","5"
"47021","tennessee","cheatham","2020-11-01","5"
"47021","tennessee","cheatham","2020-12-01","3"
"47021","tennessee","cheatham","2021-01-01","6"
"47021","tennessee","cheatham","2021-02-01","1"
"47021","tennessee","cheatham","2021-03-01","15"
"47021","tennessee","cheatham","2021-04-01","3"
"47021","tennessee","cheatham","2021-05-01","8"
"47021","tennessee","cheatham","2021-06-01","2"
"47021","tennessee","cheatham","2021-07-01","6"
