"fips","state","county","week_start_date","eviction_filings"
"47059","tennessee","greene","2019-08-26","2"
"47059","tennessee","greene","2019-09-02","3"
"47059","tennessee","greene","2019-09-09","7"
"47059","tennessee","greene","2019-09-16","2"
"47059","tennessee","greene","2019-09-23","7"
"47059","tennessee","greene","2019-09-30","3"
"47059","tennessee","greene","2019-10-07","4"
"47059","tennessee","greene","2019-10-14","2"
"47059","tennessee","greene","2019-10-21","3"
"47059","tennessee","greene","2019-10-28","4"
"47059","tennessee","greene","2019-11-04","4"
"47059","tennessee","greene","2019-11-11","5"
"47059","tennessee","greene","2019-11-18","3"
"47059","tennessee","greene","2019-11-25","3"
"47059","tennessee","greene","2019-12-02","11"
"47059","tennessee","greene","2019-12-09","4"
"47059","tennessee","greene","2019-12-16","3"
"47059","tennessee","greene","2019-12-23","0"
"47059","tennessee","greene","2019-12-30","4"
"47059","tennessee","greene","2020-01-06","2"
"47059","tennessee","greene","2020-01-13","7"
"47059","tennessee","greene","2020-01-20","7"
"47059","tennessee","greene","2020-01-27","2"
"47059","tennessee","greene","2020-02-03","3"
"47059","tennessee","greene","2020-02-10","3"
"47059","tennessee","greene","2020-02-17","4"
"47059","tennessee","greene","2020-02-24","3"
"47059","tennessee","greene","2020-03-02","4"
"47059","tennessee","greene","2020-03-09","4"
"47059","tennessee","greene","2020-03-16","0"
"47059","tennessee","greene","2020-03-23","0"
"47059","tennessee","greene","2020-03-30","0"
"47059","tennessee","greene","2020-04-06","0"
"47059","tennessee","greene","2020-04-13","0"
"47059","tennessee","greene","2020-04-20","0"
"47059","tennessee","greene","2020-04-27","1"
"47059","tennessee","greene","2020-05-04","0"
"47059","tennessee","greene","2020-05-11","0"
"47059","tennessee","greene","2020-05-18","0"
"47059","tennessee","greene","2020-05-25","0"
"47059","tennessee","greene","2020-06-01","12"
"47059","tennessee","greene","2020-06-08","5"
"47059","tennessee","greene","2020-06-15","1"
"47059","tennessee","greene","2020-06-22","0"
"47059","tennessee","greene","2020-06-29","2"
"47059","tennessee","greene","2020-07-06","5"
"47059","tennessee","greene","2020-07-13","4"
"47059","tennessee","greene","2020-07-20","10"
"47059","tennessee","greene","2020-07-27","5"
"47059","tennessee","greene","2020-08-03","2"
"47059","tennessee","greene","2020-08-10","5"
"47059","tennessee","greene","2020-08-17","4"
"47059","tennessee","greene","2020-08-24","1"
"47059","tennessee","greene","2020-08-31","0"
"47059","tennessee","greene","2020-09-07","10"
"47059","tennessee","greene","2020-09-14","3"
"47059","tennessee","greene","2020-09-21","4"
"47059","tennessee","greene","2020-09-28","4"
"47059","tennessee","greene","2020-10-05","0"
"47059","tennessee","greene","2020-10-12","1"
"47059","tennessee","greene","2020-10-19","6"
"47059","tennessee","greene","2020-10-26","17"
"47059","tennessee","greene","2020-11-02","2"
"47059","tennessee","greene","2020-11-09","2"
"47059","tennessee","greene","2020-11-16","3"
"47059","tennessee","greene","2020-11-23","3"
"47059","tennessee","greene","2020-11-30","2"
"47059","tennessee","greene","2020-12-07","0"
"47059","tennessee","greene","2020-12-14","3"
"47059","tennessee","greene","2020-12-21","1"
"47059","tennessee","greene","2020-12-28","1"
"47059","tennessee","greene","2021-01-04","16"
"47059","tennessee","greene","2021-01-11","2"
"47059","tennessee","greene","2021-01-18","0"
"47059","tennessee","greene","2021-01-25","1"
"47059","tennessee","greene","2021-02-01","2"
"47059","tennessee","greene","2021-02-08","5"
"47059","tennessee","greene","2021-02-15","0"
"47059","tennessee","greene","2021-02-22","2"
"47059","tennessee","greene","2021-03-01","2"
"47059","tennessee","greene","2021-03-08","1"
"47059","tennessee","greene","2021-03-15","1"
"47059","tennessee","greene","2021-03-22","4"
"47059","tennessee","greene","2021-03-29","3"
"47059","tennessee","greene","2021-04-05","3"
"47059","tennessee","greene","2021-04-12","6"
"47059","tennessee","greene","2021-04-19","6"
"47059","tennessee","greene","2021-04-26","5"
"47059","tennessee","greene","2021-05-03","1"
"47059","tennessee","greene","2021-05-10","4"
"47059","tennessee","greene","2021-05-17","5"
"47059","tennessee","greene","2021-05-24","2"
"47059","tennessee","greene","2021-05-31","3"
"47059","tennessee","greene","2021-06-07","2"
"47059","tennessee","greene","2021-06-14","5"
"47059","tennessee","greene","2021-06-21","4"
"47059","tennessee","greene","2021-06-28","10"
"47059","tennessee","greene","2021-07-05","4"
"47059","tennessee","greene","2021-07-12","6"
"47059","tennessee","greene","2021-07-19","9"
"47059","tennessee","greene","2021-07-26","1"
"47059","tennessee","greene","2021-08-02","7"
"47059","tennessee","greene","2021-08-09","8"
"47059","tennessee","greene","2021-08-16","2"
"47059","tennessee","greene","2021-08-23","4"
"47059","tennessee","greene","2021-08-30","9"
"47059","tennessee","greene","2021-09-06","7"
"47059","tennessee","greene","2021-09-13","1"
"47059","tennessee","greene","2021-09-20","7"
"47059","tennessee","greene","2021-09-27","7"
"47059","tennessee","greene","2021-10-04","5"
"47059","tennessee","greene","2021-10-11","8"
"47059","tennessee","greene","2021-10-18","5"
"47059","tennessee","greene","2021-10-25","4"
"47059","tennessee","greene","2021-11-01","5"
"47059","tennessee","greene","2021-11-08","6"
"47059","tennessee","greene","2021-11-15","2"
"47059","tennessee","greene","2021-11-22","3"
"47059","tennessee","greene","2021-11-29","2"
"47059","tennessee","greene","2021-12-06","9"
"47059","tennessee","greene","2021-12-13","4"
"47059","tennessee","greene","2021-12-20","4"
"47059","tennessee","greene","2021-12-27","2"
"47059","tennessee","greene","2022-01-03","5"
"47059","tennessee","greene","2022-01-10","10"
"47059","tennessee","greene","2022-01-17","5"
"47059","tennessee","greene","2022-01-24","19"
"47059","tennessee","greene","2022-01-31","4"
"47059","tennessee","greene","2022-02-07","6"
"47059","tennessee","greene","2022-02-14","10"
"47059","tennessee","greene","2022-02-21","5"
"47059","tennessee","greene","2022-02-28","3"
"47059","tennessee","greene","2022-03-07","5"
"47059","tennessee","greene","2022-03-14","2"
"47059","tennessee","greene","2022-03-21","6"
"47059","tennessee","greene","2022-03-28","13"
"47059","tennessee","greene","2022-04-04","8"
"47059","tennessee","greene","2022-04-11","4"
"47059","tennessee","greene","2022-04-18","5"
"47059","tennessee","greene","2022-04-25","6"
"47059","tennessee","greene","2022-05-02","2"
"47059","tennessee","greene","2022-05-09","6"
"47059","tennessee","greene","2022-05-16","19"
"47059","tennessee","greene","2022-05-23","5"
"47059","tennessee","greene","2022-05-30","3"
"47059","tennessee","greene","2022-06-06","11"
"47059","tennessee","greene","2022-06-13","4"
"47059","tennessee","greene","2022-06-20","4"
"47059","tennessee","greene","2022-06-27","5"
"47059","tennessee","greene","2022-07-04","1"
"47059","tennessee","greene","2022-07-11","4"
"47059","tennessee","greene","2022-07-18","7"
"47059","tennessee","greene","2022-07-25","5"
"47059","tennessee","greene","2022-08-01","4"
"47059","tennessee","greene","2022-08-08","1"
"47059","tennessee","greene","2022-08-15","7"
"47059","tennessee","greene","2022-08-22","13"
"47059","tennessee","greene","2022-08-29","4"
"47059","tennessee","greene","2022-09-05","4"
"47059","tennessee","greene","2022-09-12","9"
"47059","tennessee","greene","2022-09-19","6"
"47059","tennessee","greene","2022-09-26","7"
"47059","tennessee","greene","2022-10-03","4"
"47059","tennessee","greene","2022-10-10","7"
"47059","tennessee","greene","2022-10-17","5"
"47059","tennessee","greene","2022-10-24","6"
"47059","tennessee","greene","2022-10-31","19"
"47059","tennessee","greene","2022-11-07","3"
"47059","tennessee","greene","2022-11-14","3"
"47059","tennessee","greene","2022-11-21","0"
"47059","tennessee","greene","2022-11-28","7"
"47059","tennessee","greene","2022-12-05","7"
"47059","tennessee","greene","2022-12-12","3"
"47059","tennessee","greene","2022-12-19","5"
"47059","tennessee","greene","2022-12-26","2"
"47131","tennessee","obion","2016-01-04","3"
"47131","tennessee","obion","2016-01-11","1"
"47131","tennessee","obion","2016-01-18","6"
"47131","tennessee","obion","2016-01-25","2"
"47131","tennessee","obion","2016-02-01","4"
"47131","tennessee","obion","2016-02-08","2"
"47131","tennessee","obion","2016-02-15","0"
"47131","tennessee","obion","2016-02-22","1"
"47131","tennessee","obion","2016-02-29","4"
"47131","tennessee","obion","2016-03-07","2"
"47131","tennessee","obion","2016-03-14","4"
"47131","tennessee","obion","2016-03-21","1"
"47131","tennessee","obion","2016-03-28","3"
"47131","tennessee","obion","2016-04-04","1"
"47131","tennessee","obion","2016-04-11","1"
"47131","tennessee","obion","2016-04-18","10"
"47131","tennessee","obion","2016-04-25","4"
"47131","tennessee","obion","2016-05-02","3"
"47131","tennessee","obion","2016-05-09","3"
"47131","tennessee","obion","2016-05-16","6"
"47131","tennessee","obion","2016-05-23","9"
"47131","tennessee","obion","2016-05-30","4"
"47131","tennessee","obion","2016-06-06","0"
"47131","tennessee","obion","2016-06-13","0"
"47131","tennessee","obion","2016-06-20","7"
"47131","tennessee","obion","2016-06-27","10"
"47131","tennessee","obion","2016-07-04","2"
"47131","tennessee","obion","2016-07-11","2"
"47131","tennessee","obion","2016-07-18","5"
"47131","tennessee","obion","2016-07-25","2"
"47131","tennessee","obion","2016-08-01","0"
"47131","tennessee","obion","2016-08-08","7"
"47131","tennessee","obion","2016-08-15","3"
"47131","tennessee","obion","2016-08-22","1"
"47131","tennessee","obion","2016-08-29","1"
"47131","tennessee","obion","2016-09-05","3"
"47131","tennessee","obion","2016-09-12","7"
"47131","tennessee","obion","2016-09-19","3"
"47131","tennessee","obion","2016-09-26","5"
"47131","tennessee","obion","2016-10-03","5"
"47131","tennessee","obion","2016-10-10","1"
"47131","tennessee","obion","2016-10-17","1"
"47131","tennessee","obion","2016-10-24","2"
"47131","tennessee","obion","2016-10-31","3"
"47131","tennessee","obion","2016-11-07","0"
"47131","tennessee","obion","2016-11-14","1"
"47131","tennessee","obion","2016-11-21","0"
"47131","tennessee","obion","2016-11-28","2"
"47131","tennessee","obion","2016-12-05","7"
"47131","tennessee","obion","2016-12-12","7"
"47131","tennessee","obion","2016-12-19","2"
"47131","tennessee","obion","2016-12-26","2"
"47131","tennessee","obion","2017-01-02","2"
"47131","tennessee","obion","2017-01-09","2"
"47131","tennessee","obion","2017-01-16","5"
"47131","tennessee","obion","2017-01-23","3"
